ISO_alpha-3;CommodityID;Source;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
AFG;329;EIA;132.3239831;131.9591533;110.3162431;113.5108322;119.7006008;127.128323;134.0799092;127.3187774;136.746271;133.2228643;131.17505;137.78892;159.83515;159.83515;163.14208;166.44902;176.36982;184.086;152.11897;139.99354;115.74269;103.61727;8.81849;7.71618;6.61387;5.51156;3.30693;2.20462;2.20462;1.10231;1.10231;28.6601;23.14854;38.5809;37.47859;36.37627;38.5809;267.86166;382.50204;551.15568;799.17574;799.17574;826.73352;1485;1673
BIH;4;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTN;329;EIA;0.064099267;0.065815269;0.06658087;0.067557671;0.071042475;0.068692872;0.074844079;0.080757685;0.086512891;0.090657695;0.05512;0.09921;0.11023;0.22046;0.44092;0.55116;0.88185;2.01723;2.20462;2.20462;2.20462;2.20462;61.72944;50.70632;70.54793;74.95717;70.54793;59.52481;55.11557;55.11557;55.11557;93.25113;97.62841;73.1097;32.66259;94.00401;107.98793;116.0304;136.36032;53.5117;96.79837;97.0034;97.0034;0;0
CMR;329;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CZE;5;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.062;0.1;0.022;0.1;0.2;0.2;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KGZ;5;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAO;326;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171.96057;231.48539;242.5085;231.48539;297.62407;275.57784;330.69341;352.73964;351.63732;751.77635;417.99647;513.78732;557.87978;562.17879;573.20191;639;621
LAO;329;EIA;0.099467994;0.104430148;0.108034796;0.117465976;0.121744967;0.129867151;0.133705935;0.131039433;0.132343217;0.129698766;0.09921;0.11023;0.22046;0.33069;0.44092;1.10231;2.20462;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;1.10231;25.92747;55.92356;105.21011;98.79245;222.53241;211.74167;184.43984;253.59742;219.47449;329.42806;332.85504;362.33636;391.81768;432.42021;453.95827;483.75706;496.04011;507.06323;0;0
LUX;4;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035315;0.1;0.1;0.2
MDA;329;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286.60095;197.31373;122.35656;35.27396;39.68321;52.91095;8.81849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MWI;329;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.71017;86.796;53.20857;65.84106;72.86278;55.11557;49.60401;60.62712;66.13868;57.62884;59.52481;59.52481;59.52481;59.52481;60;78
NER;329;EIA;50.13087364;52.9779667;50.24098068;41.67610751;45.33328515;44.06703881;44.36590296;47.81072949;54.25208373;58.12947802;22.04623;33.06934;49.60401;143.30048;165.3467;166.44902;136.68661;180.77906;170.85826;188.49524;189.59755;189.59755;187.39293;189.59755;189.59755;190.69987;190.69987;191.80218;191.80218;192.90449;174.38566;180.00745;201.61275;208.22662;260.78923;200.68681;194.35954;188.82153;201.62598;210.45218;261.94445;262.3501;262.3501;0;0
SWZ;327;EIA;23.49280721;24.50226377;29.58013616;26.36822893;40.28649362;48.45391488;51.94112845;52.46552053;53.82791439;54.78960417;76.05948;70.54793;70.54793;44.09245;54.01326;71.65024;73.85486;70.54793;70.54793;70.54793;66.13868;50.84411;41.33668;20.66834;75.23275;70.8235;53.32431;22.04623;19.8416;20.94392;20.94392;19.8416;0;0;0;0;0;0;0;0;0;0;0;11;13
SWZ;329;EIA;36.57440632;38.14596284;46.05136836;41.05096126;62.71939209;75.43471303;80.86372647;81.68011801;83.8011394;85.29833097;117.94732;110.23114;110.23114;68.3433;83.77566;111.33345;115.74269;111.33345;111.33345;111.33345;110.23114;84.87797;69.44562;34.17165;125.66349;117.94732;89.28722;354.04091;356.24554;466.08888;362.93568;476.19851;561.96439;452.50984;488.70974;497.0743;488.91323;508.95865;524.20417;530.68576;538.98616;538.98616;538.98616;238;271
UZB;5;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;38;40;45;50;45;45;45;60;69;73;65;60;56;48;47;46;27;37;43;35;23;18
BTN;330;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;93
FIN;4;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035315;0.1;0.1
GHA;4;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.44249E-15;2.88658E-15;1.8
LAO;327;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;193
SCG;5;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0
TLS;4;EIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;0;194;228;0
