alphanumiso;material_id;Concentration;UsedSource;CountryID;CommodityID
ARE784;Me.Cr;0.373;3;AE;15
AFG004;Me.Cr;0.406545455;250;AF;15
ALB008;Me.Fe;0.46;6;AL;7
ALB008;Me.Al;0.395;21;AL;10
ALB008;Me.Cr;0.42;3;AL;15
ALB008;Me.Cu;0.0126;21;AL;17
ALB008;Me.Ni;0.014;21;AL;28
ARM051;Me.Au;6.40E-06;59;AM;20
ARM051;Me.Mo;5.00E-04;59;AM;27
AGO024;Nm.dig;5.41E-08;250;AO;74
ARG032;Me.Cu;0.0066;13;AR;17
ARG032;Me.Au;2.50E-06;58;AR;20
ARG032;Me.Li;0.0014;250;AR;23
ARG032;Me.Hg;0.0105;99;AR;26
ARG032;Me.Mo;1.90E-04;52;AR;27
ARG032;Me.Ag;3.00E-04;106;AR;34
ARG032;Me.Sn;0.015;"99";AR;37
ARG032;Me.W;0.00515;"99";AR;39
ARG032;Me.U;0.002;"106";AR;40
AUT040;Me.Fe;0.32;52;AT;7
AUT040;Me.Sb;0.05;"120";AT;8
AUT040;Me.W;0.0044;52;AT;39
AUS036;Me.Fe;0.6;6;AU;7
AUS036;Me.Al;0.398;2;AU;10
AUS036;Me.Cr;0.373;3;AU;15
AUS036;Me.Cu;0.0101;255;AU;17
AUS036;Me.Au;1.70E-06;255;AU;20
AUS036;Me.Li;0.03;40;AU;23
AUS036;Me.Mn;0.4741;119;AU;25
AUS036;Me.Ni;0.03;106;AU;28
AUS036;Me.Ir;1.00E-05;120;AU;30
AUS036;Me.Os;1.00E-05;120;AU;30
AUS036;Me.Pd;1.00E-05;120;AU;30
AUS036;Me.Pt;1.00E-05;120;AU;30
AUS036;Me.Rh;1.00E-05;120;AU;30
AUS036;Me.Ru;1.00E-05;120;AU;30
AUS036;Me.Ce;0.05;50;AU;31
AUS036;Me.Dy;0.05;50;AU;31
AUS036;Me.Er;0.05;50;AU;31
AUS036;Me.Eu;0.05;50;AU;31
AUS036;Me.Gd;0.05;50;AU;31
AUS036;Me.Ho;0.05;50;AU;31
AUS036;Me.La;0.05;50;AU;31
AUS036;Me.Lu;0.05;50;AU;31
AUS036;Me.Nd;0.05;50;AU;31
AUS036;Me.Pr;0.05;50;AU;31
AUS036;Me.Pm;0.05;50;AU;31
AUS036;Me.Sm;0.05;50;AU;31
AUS036;Me.Sc;0.05;50;AU;31
AUS036;Me.Tb;0.05;50;AU;31
AUS036;Me.Tm;0.05;50;AU;31
AUS036;Me.Yb;0.05;50;AU;31
AUS036;Me.Y;0.05;50;AU;31
AUS036;Me.Sn;0.015;99;AU;37
AUS036;Me.W;0.00515;99;AU;39
AUS036;Me.U;0.002;106;AU;40
AUS036;Nm.dig;9.42E-07;250;AU;74
AZE031;Me.Fe;0.29;59;AZ;7
AZE031;Me.Cu;0.0099;"9";AZ;17
AZE031;Me.Au;4.00E-06;"106";AZ;20
AZE031;Me.Ag;3.00E-04;"106";AZ;34
AZE031;Me.K2O;0.45;251;AZ;86
BIH070;Me.Fe;0.365511111;250;BA;7
BIH070;Me.Al;0.353666667;250;BA;10
BFA854;Me.Au;4.00E-06;106;BF;20
BFA854;Me.Mn;0.357;8;BF;25
BFA854;Me.Ag;3.00E-04;"106";BF;34
BGR100;Me.Fe;0.3;21;BG;7
BGR100;Me.Cu;0.00905;229;BG;17
BGR100;Me.Au;2.86E-06;106;BG;20
BGR100;Me.Mn;0.28;21;BG;25
BGR100;Me.Mo;0.0019;"52";BG;27
BGR100;Me.Ag;3.00E-04;106;BG;34
BGR100;Me.U;0.002;106;BG;40
BDI108;Me.Au;4.00E-06;106;BI;20
BDI108;Me.Sn;0.015;99;BI;37
BDI108;Me.W;0.00515;99;BI;39
BEN204;Me.Au;4.00E-06;106;BJ;20
BOL068;Me.Sb;0.05;120;BO;8
BOL068;Me.Cu;0.00905;229;BO;17
BOL068;Me.Au;2.27E-06;63;BO;20
BOL068;Me.Ag;1.29E-04;63;BO;34
BOL068;Me.Sn;8.60E-04;43;BO;37
BOL068;Me.W;0.0098;0;BO;39
BOL068;Nm.S;0.1;250;BO;89
BRA076;Me.Fe;0.615;6;BR;7
BRA076;Me.Sb;0.05;"120";BR;8
BRA076;Me.Al;0.5;15;BR;10
BRA076;Me.Cr;0.38;3;BR;15
BRA076;Me.Cu;0.0079;15;BR;17
BRA076;Me.Au;6.10E-06;255;BR;20
BRA076;Me.Li;0.0014;250;BR;23
BRA076;Me.Mn;0.43;251;BR;25
BRA076;Me.Mo;0.0019;"52";BR;27
BRA076;Me.Ni;0.0165;7;BR;28
BRA076;Me.Ce;0.05;50;BR;31
BRA076;Me.Dy;0.05;50;BR;31
BRA076;Me.Er;0.05;50;BR;31
BRA076;Me.Eu;0.05;50;BR;31
BRA076;Me.Gd;0.05;50;BR;31
BRA076;Me.Ho;0.05;50;BR;31
BRA076;Me.La;0.05;50;BR;31
BRA076;Me.Lu;0.05;50;BR;31
BRA076;Me.Nd;0.05;50;BR;31
BRA076;Me.Pr;0.05;50;BR;31
BRA076;Me.Pm;0.05;50;BR;31
BRA076;Me.Sm;0.05;50;BR;31
BRA076;Me.Sc;0.05;50;BR;31
BRA076;Me.Tb;0.05;50;BR;31
BRA076;Me.Tm;0.05;50;BR;31
BRA076;Me.Yb;0.05;50;BR;31
BRA076;Me.Y;0.05;50;BR;31
BRA076;Me.Ag;3.00E-04;106;BR;34
BRA076;Me.Sn;8.60E-04;43;BR;37
BRA076;Me.W;0.00515;99;BR;39
BRA076;Me.U;0.002;106;BR;40
BRA076;Nm.dig;3.01E-07;250;BR;74
BRA076;Me.K2O;0.45;251;BR;86
BTN064;Me.Fe;0.428888889;250;BT;7
BWA072;Me.Cu;0.0099;9;BW;17
BWA072;Me.Au;6.20E-06;106;BW;20
BWA072;Me.Ni;0.01;0;BW;28
BWA072;Me.Ir;1.00E-05;"120";BW;30
BWA072;Me.Os;1.00E-05;"120";BW;30
BWA072;Me.Pd;1.00E-05;"120";BW;30
BWA072;Me.Pt;1.00E-05;"120";BW;30
BWA072;Me.Rh;1.00E-05;"120";BW;30
BWA072;Me.Ru;1.00E-05;"120";BW;30
BWA072;Me.Ag;3.00E-04;"106";BW;34
BWA072;Nm.dig;1.43E-07;250;BW;74
BWA072;Nm.dii;1.43E-07;250;BW;75
BLR112;Me.K2O;0.45;251;BY;86
BLZ084;Me.Au;4.00E-06;"106";BZ;20
CAN124;Me.Fe;0.28;6;CA;7
CAN124;Me.Sb;0.05;120;CA;8
CAN124;Me.Cu;0.008;33;CA;17
CAN124;Me.Au;2.62E-06;255;CA;20
CAN124;Me.Li;0.07;40;CA;23
CAN124;Me.Ir;1.00E-05;120;CA;30
CAN124;Me.Os;1.00E-05;120;CA;30
CAN124;Me.Pd;1.00E-05;120;CA;30
CAN124;Me.Pt;1.00E-05;120;CA;30
CAN124;Me.Rh;1.00E-05;120;CA;30
CAN124;Me.Ru;1.00E-05;120;CA;30
CAN124;Me.Ag;4.50E-04;33;CA;34
CAN124;Me.Sn;0.002;"43";CA;37
CAN124;Me.W;0.00515;99;CA;39
CAN124;Me.U;0.002;106;CA;40
CAN124;Nm.dig;2.53E-07;250;CA;74
CAN124;Me.K2O;0.45;251;CA;86
COD180;Me.Cu;0.0391;229;CD;17
COD180;Me.Au;4.00E-06;106;CD;20
COD180;Me.Ce;0.05;50;CD;31
COD180;Me.Dy;0.05;50;CD;31
COD180;Me.Er;0.05;50;CD;31
COD180;Me.Eu;0.05;50;CD;31
COD180;Me.Gd;0.05;50;CD;31
COD180;Me.Ho;0.05;50;CD;31
COD180;Me.La;0.05;50;CD;31
COD180;Me.Lu;0.05;50;CD;31
COD180;Me.Nd;0.05;50;CD;31
COD180;Me.Pr;0.05;50;CD;31
COD180;Me.Pm;0.05;50;CD;31
COD180;Me.Sm;0.05;50;CD;31
COD180;Me.Sc;0.05;50;CD;31
COD180;Me.Tb;0.05;50;CD;31
COD180;Me.Tm;0.05;50;CD;31
COD180;Me.Yb;0.05;50;CD;31
COD180;Me.Y;0.05;50;CD;31
COD180;Me.Ag;3.00E-04;106;CD;34
COD180;Me.Sn;0.015;99;CD;37
COD180;Me.W;0.00515;99;CD;39
COD180;Nm.dig;1.28E-07;250;CD;74
COD180;Nm.dii;1.28E-07;250;CD;75
CAF140;Me.Au;4.00E-06;106;CF;20
CAF140;Nm.dig;1.28E-07;250;CF;74
CAF140;Nm.dii;1.28E-07;250;CF;75
COG178;Me.Cu;0.0099;"9";CG;17
COG178;Me.Au;4.00E-06;106;CG;20
COG178;Nm.dig;1.28E-07;250;CG;74
CIV384;Me.Au;4.00E-06;106;CI;20
CIV384;Me.Mn;0.329183333;250;CI;25
CIV384;Me.Ag;3.00E-04;"106";CI;34
CIV384;Nm.dig;1.28E-07;250;CI;74
CIV384;Nm.dii;1.28E-07;250;CI;75
CHL152;Me.Fe;0.48;67;CL;7
CHL152;Me.Cu;0.01;44;CL;17
CHL152;Me.Au;1.00E-05;44;CL;20
CHL152;Me.Li;0.0014;40;CL;23
CHL152;Me.Mn;0.0096;40;CL;25
CHL152;Me.Hg;0.0105;99;CL;26
CHL152;Me.K2O;0.45;251;CL;86
CMR120;Me.Au;4.00E-06;106;CM;20
CMR120;Me.Sn;0.015;99;CM;37
CHN156;Me.Fe;0.3;6;CN;7
CHN156;Me.Sb;0.05;120;CN;8
CHN156;Me.Al;0.38575;250;CN;10
CHN156;Me.Cr;0.373;3;CN;15
CHN156;Me.Cu;0.01;254;CN;17
CHN156;Me.Au;8.00E-06;52;CN;20
CHN156;Me.Li;0.005;250;CN;23
CHN156;Me.Mn;0.2;106;CN;25
CHN156;Me.Hg;0.03;120;CN;26
CHN156;Me.Mo;0.002;52;CN;27
CHN156;Me.Ni;0.0177;7;CN;28
CHN156;Me.Ir;1.00E-05;"120";CN;30
CHN156;Me.Os;1.00E-05;"120";CN;30
CHN156;Me.Pd;1.00E-05;"120";CN;30
CHN156;Me.Pt;1.00E-05;"120";CN;30
CHN156;Me.Rh;1.00E-05;"120";CN;30
CHN156;Me.Ru;1.00E-05;"120";CN;30
CHN156;Me.Ce;0.03;50;CN;31
CHN156;Me.Dy;0.03;50;CN;31
CHN156;Me.Er;0.03;50;CN;31
CHN156;Me.Eu;0.03;50;CN;31
CHN156;Me.Gd;0.03;50;CN;31
CHN156;Me.Ho;0.03;50;CN;31
CHN156;Me.La;0.03;50;CN;31
CHN156;Me.Lu;0.03;50;CN;31
CHN156;Me.Nd;0.03;50;CN;31
CHN156;Me.Pr;0.03;50;CN;31
CHN156;Me.Pm;0.03;50;CN;31
CHN156;Me.Sm;0.03;50;CN;31
CHN156;Me.Sc;0.03;50;CN;31
CHN156;Me.Tb;0.03;50;CN;31
CHN156;Me.Tm;0.03;50;CN;31
CHN156;Me.Yb;0.03;50;CN;31
CHN156;Me.Y;0.03;50;CN;31
CHN156;Me.Sn;0.015;99;CN;37
CHN156;Me.W;0.00165;50;CN;39
CHN156;Me.U;0.002;106;CN;40
CHN156;Me.V;0.56;251;CN;41
CHN156;Nm.dig;5.07E-07;250;CN;74
CHN156;Me.K2O;0.45;251;CN;86
CHN156;Nm.S;0.1;250;CN;89
COL170;Me.Fe;0.503333333;250;CO;7
COL170;Me.Al;0.489;250;CO;10
COL170;Me.Cu;0.0099;9;CO;17
COL170;Me.Au;1.80E-06;68;CO;20
COL170;Me.Ni;0.0198;7;CO;28
COL170;Me.Ir;1.00E-05;120;CO;30
COL170;Me.Os;1.00E-05;120;CO;30
COL170;Me.Pd;1.00E-05;120;CO;30
COL170;Me.Pt;1.00E-05;120;CO;30
COL170;Me.Rh;1.00E-05;120;CO;30
COL170;Me.Ru;1.00E-05;120;CO;30
COL170;Me.Ag;3.00E-04;106;CO;34
COL170;Nm.S;0.1;250;CO;89
CRI188;Me.Au;3.20E-06;250;CR;20
CRI188;Me.Ag;1.29E-04;0;CR;34
CSK200;Me.Fe;0.365511111;250;CS;7
CSK200;Me.Sb;0.05;120;CS;8
CSK200;Me.Cu;0.00640625;250;CS;17
CSK200;Me.Mn;0.2896;250;CS;25
CSK200;Me.Hg;0.0105;99;CS;26
CSK200;Me.Ag;0.05;20;CS;34
CSK200;Me.Sn;0.015;99;CS;37
CSK200;Me.W;0.0044;52;CS;39
CSK200;Me.U;1.20E-04;"106";CS;40
CUB192;Me.Fe;0.503333333;250;CU;7
CUB192;Me.Cr;0.21;11;CU;15
CUB192;Me.Cu;0.0099;9;CU;17
CUB192;Me.Au;2.60E-06;15;CU;20
CUB192;Me.Ni;0.002;52;CU;28
CZE203;Me.Au;2.86E-06;"106";CZ;20
CZE203;Me.U;1.20E-04;106;CZ;40
DEU276;Me.Fe;0.365511111;250;DE;7
DEU276;Me.Cu;0.0074;"42";DE;17
DEU276;Me.Au;2.86E-06;"106";DE;20
DEU276;Me.Hg;0.0105;"99";DE;26
DEU276;Me.Ni;0.03;"120";DE;28
DEU276;Me.Ir;1.00E-05;"120";DE;30
DEU276;Me.Os;1.00E-05;"120";DE;30
DEU276;Me.Pd;1.00E-05;"120";DE;30
DEU276;Me.Pt;1.00E-05;"120";DE;30
DEU276;Me.Rh;1.00E-05;"120";DE;30
DEU276;Me.Ru;1.00E-05;"120";DE;30
DEU276;Me.Ag;3.00E-04;"106";DE;34
DEU276;Me.Sn;0.015;"99";DE;37
DEU276;Me.U;0.0024;25;DE;40
DEU276;Me.K2O;0.45;251;DE;86
CIV384;Nm.dig;1.28E-07;250;CI;74
DOM214;Me.Al;0.489;250;DO;10
DOM214;Me.Cu;0.0099;"9";DO;17
DOM214;Me.Au;3.20E-06;250;DO;20
DOM214;Me.Ni;0.0198;7;DO;28
DOM214;Me.Ag;3.00E-04;"106";DO;34
DZA012;Me.Fe;0.5618;250;DZ;7
DZA012;Me.Cu;0.0099;"9";DZ;17
DZA012;Me.Au;4.00E-06;106;DZ;20
DZA012;Me.Hg;0.0105;99;DZ;26
DZA012;Me.Ag;3.10E-04;106;DZ;34
ECU218;Me.Cu;0.007;71;EC;17
ECU218;Me.Au;5.40E-06;71;EC;20
ECU218;Me.Ag;3.00E-04;"106";EC;34
ECU218;Nm.S;0.1;250;EC;89
EGY818;Me.Fe;0.5;99;EG;7
EGY818;Me.Au;4.00E-06;"106";EG;20
EGY818;Me.Mn;0.297;123;EG;25
ERI232;Me.Cu;0.0099;"9";ER;17
ERI232;Me.Au;4.00E-06;106;ER;20
ERI232;Me.Ag;3.00E-04;"106";ER;34
ESP724;Me.Fe;0.3848;105;ES;7
ESP724;Me.Cu;0.0099;9;ES;17
ESP724;Me.Au;2.86E-06;106;ES;20
ESP724;Me.Li;0.02;120;ES;23
ESP724;Me.Hg;0.0105;99;ES;26
ESP724;Me.Ag;1.30E-04;106;ES;34
ESP724;Me.Sn;0.015;99;ES;37
ESP724;Me.W;0.00515;99;ES;39
ESP724;Me.U;1.20E-04;106;ES;40
ESP724;Me.K2O;0.45;251;ES;86
ETH231;Me.Au;4.00E-06;106;ET;20
ETH230;Me.Au;4.00E-06;106;ET;20
FIN246;Me.Cr;0.41;3;FI;15
FIN246;Me.Au;2.86E-06;106;FI;20
FIN246;Me.Hg;0.0105;99;FI;26
FIN246;Me.Ni;0.0155;7;FI;28
FJI242;Me.Au;4.00E-06;106;FJ;20
FJI242;Me.Ag;3.00E-04;106;FJ;34
FRA250;Me.Fe;0.365511111;250;FR;7
FRA250;Me.Al;0.353666667;250;FR;10
FRA250;Me.Cu;0.0074;"42";FR;17
FRA250;Me.Au;2.86E-06;106;FR;20
FRA250;Me.Ag;1.30E-04;106;FR;34
FRA250;Me.W;0.00515;"99";FR;39
FRA250;Me.U;1.20E-04;106;FR;40
FRA250;Me.K2O;0.45;251;FR;86
GAB266;Me.Au;4.00E-06;106;GA;20
GAB266;Me.Mn;0.297;99;GA;25
GAB266;Me.U;0.002;106;GA;40
GAB266;Nm.dig;1.28E-07;250;GA;74
GAB266;Nm.dii;1.28E-07;250;GA;75
GBR826;Me.Fe;0.365511111;250;GB;7
GBR826;Me.Cu;0.0074;"42";GB;17
GBR826;Me.Au;2.86E-06;106;GB;20
GBR826;Me.Ag;3.00E-04;106;GB;34
GBR826;Me.Sn;0.00358;43;GB;37
GBR826;Me.W;0.00515;"99";GB;39
GBR826;Me.K2O;0.45;251;GB;86
GEO268;Me.Cu;0.014;75;GE;17
GEO268;Me.Au;6.40E-06;59;GE;20
GEO268;Me.Mn;0.21;75;GE;25
GUF254;Me.Au;1.80E-06;74;GF;20
GHA288;Me.Al;0.6;250;GH;10
GHA288;Me.Au;4.00E-06;106;GH;20
GHA288;Me.Mn;0.3198;119;GH;25
GHA288;Me.Ag;3.00E-04;106;GH;34
GHA288;Nm.dig;1.28E-07;250;GH;74
GHA288;Nm.dii;1.28E-07;250;GH;75
GIN324;Me.Al;0.6;250;GN;10
GIN324;Me.Au;4.00E-06;106;GN;20
GIN324;Nm.dig;1.13E-07;250;GN;74
GIN324;Nm.dii;1.13E-07;250;GN;75
GNQ226;Me.Au;4.00E-06;106;GQ;20
GRC300;Me.Fe;0.3813;105;GR;7
GRC300;Me.Al;0.22;38;GR;10
GRC300;Me.Cu;0.0099;"9";GR;17
GRC300;Me.Au;2.86E-06;"106";GR;20
GRC300;Me.Mn;0.357;8;GR;25
GTM320;Me.Fe;0.46;6;GT;7
GTM320;Me.Sb;0.05;120;GT;8
GTM320;Me.Cu;0.0099;"9";GT;17
GTM320;Me.Au;2.60E-06;15;GT;20
GTM320;Me.Ni;0.03;"120";GT;28
GTM320;Me.Ag;3.00E-04;106;GT;34
GUY328;Me.Al;0.52;2;GY;10
GUY328;Me.Au;1.35E-06;77;GY;20
GUY328;Nm.dig;3.01E-07;250;GY;74
HND340;Me.Sb;0.05;"120";HN;8
HND340;Me.Cu;0.005;66;HN;17
HND340;Me.Au;3.20E-06;78;HN;20
HND340;Me.Ag;3.00E-04;106;HN;34
HRV191;Me.Al;0.353666667;250;HR;10
HRV191;Me.Ag;3.00E-04;"106";HR;34
HUN348;Me.Al;0.353666667;250;HU;10
HUN348;Me.Au;5.00E-06;250;HU;20
HUN348;Me.Mn;0.215;89;HU;25
HUN348;Me.Ag;3.00E-04;"106";HU;34
HUN348;Me.U;1.20E-04;"106";HU;40
IDN360;Me.Fe;0.428888889;250;ID;7
IDN360;Me.Al;0.398;2;ID;10
IDN360;Me.Cr;0.373;3;ID;15
IDN360;Me.Cu;0.0085;52;ID;17
IDN360;Me.Au;5.00E-06;254;ID;20
IDN360;Me.Ni;0.002;52;ID;28
IDN360;Me.Ag;3.00E-04;106;ID;34
IDN360;Me.Sn;1.90E-04;43;ID;37
IDN360;Nm.dig;5.07E-07;250;ID;74
IDN360;Nm.dii;5.07E-07;250;ID;75
IRL372;Me.Cu;0.0099;"9";IE;17
IRL372;Me.Ag;3.00E-04;106;IE;34
ISR376;Me.Cu;0.0052;"9";IL;17
ISR376;Me.K2O;0.45;251;IL;86
IND356;Me.Fe;0.53;6;IN;7
IND356;Me.Al;0.38575;250;IN;10
IND356;Me.Cr;0.44;3;IN;15
IND356;Me.Cu;0.0133;42;IN;17
IND356;Me.Au;1.00E-05;120;IN;20
